Regime_Filter,Threshold,Holding_Period,Total_Return,CAGR,Sharpe,Sortino,Max_Drawdown,Win_Rate,Profit_Factor,Trades,Exposure,Buy_Hold_Return,Excess_Return
All_Regimes,0.7,20,-0.21555506015775483,-0.07180811902842987,-0.3975807411927105,-0.4280641429923618,-0.39999518509286724,0.5416666666666666,0.7244870052977993,24,0.60375,-0.3124085033541204,0.09685344319636557
All_Regimes,0.75,5,-0.11424546963475102,-0.03655095558117749,-0.306884913541828,-0.2379471537213151,-0.26303672632004715,0.5319148936170213,0.8374557523993613,47,0.34625,-0.3124085033541204,0.19816303371936939
All_Regimes,0.75,10,-0.10239351608342517,-0.03261232474571818,-0.21570220121286843,-0.1948459313298726,-0.27520401820952256,0.5483870967741935,0.8444533923646177,31,0.4225,-0.3124085033541204,0.21001498727069523
All_Regimes,0.75,15,-0.08993246392619636,-0.028509957732474445,-0.145365716396986,-0.1328743620469262,-0.2747611225785005,0.6086956521739131,0.9034959930296461,23,0.44875,-0.3124085033541204,0.22247603942792404
All_Regimes,0.75,20,-0.20036730771245082,-0.06632888201643794,-0.45893290012522714,-0.4210808499752746,-0.2926263825921177,0.5,0.6473259797490284,18,0.45625,-0.3124085033541204,0.11204119564166959
All_Regimes,0.8,5,-0.20894967346523763,-0.06941616017980745,-0.7139834110021113,-0.483399259915233,-0.29825507994056233,0.475,0.6261585850541117,40,0.2925,-0.3124085033541204,0.10345882988888278
All_Regimes,0.8,10,-0.16701265497154327,-0.05454399383117903,-0.4525520030195686,-0.3462441595858036,-0.26903731477096526,0.48,0.6995643936589847,25,0.33875,-0.3124085033541204,0.14539584838257713
All_Regimes,0.8,15,-0.21964961052799192,-0.0732978640348293,-0.5626835811849152,-0.4504817978728394,-0.29844433999867825,0.5,0.5890717160206919,20,0.3875,-0.3124085033541204,0.09275889282612848
All_Regimes,0.8,20,-0.2876950979231071,-0.09888888573216814,-0.7707231678389808,-0.6319815754803004,-0.36079261265627705,0.5,0.450666207512013,16,0.4025,-0.3124085033541204,0.024713405431013302
Only_Best_Regime,0.6,5,-0.13281247052315037,-0.04279521973444622,-0.6201978229577044,-0.26488636818123784,-0.15397142984816792,0.42857142857142855,0.5733052203129174,14,0.10375,-0.3124085033541204,0.17959603283097003
